,current_nA,time_s,substrate_reference_mM,SMA_10
253,0.93944,253,0.0,0.0
254,0.93944025,254,0.0,0.0
255,0.9276973125000001,255,0.0,0.0
256,0.9112570000000001,256,0.0,0.0
257,0.9206520000000001,257,0.0,0.0
258,0.977018,258,0.0,0.0
259,0.995807,259,0.0,0.0
260,0.9206520000000001,260,0.0,0.0
261,0.87368,261,0.0,0.0
262,0.93944,262,0.0,0.0
263,0.9206520000000001,263,0.0,0.0
264,0.87368,264,0.0,0.0
265,0.864285,265,0.0,0.0
266,0.995807,266,0.0,0.0
267,0.967624,267,0.0,0.0
268,0.845496,268,0.0,0.0
269,0.883074,269,0.0,0.0
270,0.798524,270,0.0,0.0
271,0.9206520000000001,271,0.0,0.0
272,0.8173130000000001,272,0.0,0.0
273,0.7891300000000001,273,0.0,0.0
274,0.7797350000000001,274,0.0,0.0
275,0.883074,275,0.0,0.0
276,0.8548910000000001,276,0.0,0.0
277,0.798524,277,0.0,0.0
278,0.845496,278,0.0,0.0
279,0.864285,279,0.0,0.0
280,0.7867812500000001,280,0.0,0.0
281,0.723369,281,0.0,0.0
282,0.713975,282,0.0,0.0
283,0.7797350000000001,283,0.0,0.0
284,0.7891300000000001,284,0.0,0.0
285,0.723369,285,0.0,0.0
286,0.807919,286,0.0,0.0
287,0.742158,287,0.0,0.0
288,0.7515520000000001,288,0.0,0.0
289,0.7609470000000002,289,0.0,0.0
290,0.807919,290,0.0,0.0
291,0.7797350000000001,291,0.0,0.0
292,0.8173130000000001,292,0.0,0.0
293,0.7891300000000001,293,0.0,0.0
294,0.7797350000000001,294,0.0,0.0
295,0.77738675,295,0.0,0.0
296,0.7797350000000001,296,0.0,0.0
297,0.7609470000000002,297,0.0,0.0
298,0.7609467500000001,298,0.0,0.0
299,0.7609469375000001,299,0.0,0.0
300,0.7609470000000002,300,0.0,0.0
301,0.7609470000000002,301,0.0,0.0
302,0.713975,302,0.0,0.0
303,0.826708,303,0.0,0.0
304,0.6576080000000001,304,0.0,0.0
305,0.7891300000000001,305,0.0,0.0
306,0.70458,306,0.0,0.0
307,0.742158,307,0.0,0.0
308,0.7609470000000002,308,0.0,0.0
309,0.71162625,309,0.0,0.0
310,0.667003,310,0.0,0.0
311,0.676397,311,0.0,0.0
312,0.6951860000000001,312,0.0,0.0
313,0.685791,313,0.0,0.0
314,0.723369,314,0.0,0.0
315,0.685791,315,0.0,0.0
316,0.6294250000000001,316,0.0,0.0
317,0.742158,317,0.0,0.0
318,0.573058,318,0.0,0.0
319,0.667003,319,0.0,0.0
320,0.6951860000000001,320,0.0,0.0
321,0.7609470000000002,321,0.0,0.0
322,0.6951860000000001,322,0.0,0.0
323,0.638819,323,0.0,0.0
324,0.826708,324,0.0,0.0
325,0.723369,325,0.0,0.0
326,0.685791,326,0.0,0.0
327,0.6294250000000001,327,0.0,0.0
328,0.7609470000000002,328,0.0,0.0
329,0.723369,329,0.0,0.0
330,0.723369,330,0.0,0.0
331,0.591847,331,0.0,0.0
332,0.742158,332,0.0,0.0
333,0.6012419999999999,333,0.0,0.0
334,0.7609470000000002,334,0.0,0.0
335,0.685791,335,0.0,0.0
336,0.6482140000000001,336,0.0,0.0
337,0.667003,337,0.0,0.0
338,0.6106360000000001,338,0.0,0.0
339,0.6951860000000001,339,0.0,0.0
340,0.573058,340,0.0,0.0
341,0.676397,341,0.0,0.0
342,0.5354810000000001,342,0.0,0.0
343,0.563664,343,0.0,0.0
344,0.563664,344,0.0,0.0
345,0.582453,345,0.0,0.0
346,0.582453,346,0.0,0.0
347,0.55427,347,0.0,0.0
348,0.6294250000000001,348,0.0,0.0
349,0.723369,349,0.0,0.0
350,0.582453,350,0.0,0.0
351,0.544875,351,0.0,0.0
352,0.6012419999999999,352,0.0,0.0
353,0.6106360000000001,353,0.0,0.0
354,0.620031,354,0.0,0.0
355,0.6482140000000001,355,0.0,0.0
356,0.6012419999999999,356,0.0,0.0
357,0.6294250000000001,357,0.0,0.0
358,0.620031,358,0.0,0.0
359,0.620031,359,0.0,0.0
